GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
0500000US27001,27001,"Aitkin County, Minnesota",16202,16192,16210,16167,16034,15871,15848,15855,15757,15809,15902
0500000US27003,27003,"Anoka County, Minnesota",330844,330858,331436,332876,336093,339099,341911,344246,346665,350521,353813
0500000US27005,27005,"Becker County, Minnesota",32504,32504,32549,32762,32988,33178,33256,33442,33719,34075,34371
0500000US27007,27007,"Beltrami County, Minnesota",44442,44442,44572,45045,45140,45484,45635,45604,46016,46484,46847
0500000US27009,27009,"Benton County, Minnesota",38451,38451,38464,38730,38672,38977,39141,39412,39670,40127,40545
0500000US27011,27011,"Big Stone County, Minnesota",5269,5268,5273,5206,5133,5069,5087,4992,5002,5011,4989
0500000US27013,27013,"Blue Earth County, Minnesota",64013,64013,64085,64347,64966,64734,65296,65658,66343,66887,67427
0500000US27015,27015,"Brown County, Minnesota",25893,25893,25843,25655,25412,25266,25271,25237,25262,25172,25111
0500000US27017,27017,"Carlton County, Minnesota",35386,35386,35416,35438,35268,35270,35367,35407,35554,35534,35837
0500000US27019,27019,"Carver County, Minnesota",91042,91086,91403,92812,93863,95611,97363,98635,100380,102150,103551
0500000US27021,27021,"Cass County, Minnesota",28567,28567,28655,28382,28406,28483,28552,28687,29015,29336,29519
0500000US27023,27023,"Chippewa County, Minnesota",12441,12441,12443,12311,12117,12069,12050,12077,12039,11958,11924
0500000US27025,27025,"Chisago County, Minnesota",53887,53890,53905,53753,53464,53658,53797,54113,54588,55214,55922
0500000US27027,27027,"Clay County, Minnesota",58999,58999,59145,59911,60187,60519,61238,62146,62983,63682,63955
0500000US27029,27029,"Clearwater County, Minnesota",8695,8695,8705,8719,8676,8782,8789,8796,8830,8837,8810
0500000US27031,27031,"Cook County, Minnesota",5176,5176,5161,5209,5180,5185,5241,5228,5309,5384,5393
0500000US27033,27033,"Cottonwood County, Minnesota",11687,11687,11714,11712,11573,11554,11506,11426,11376,11277,11277
0500000US27035,27035,"Crow Wing County, Minnesota",62500,62510,62607,62666,62802,62993,63099,63231,63739,64315,64889
0500000US27037,27037,"Dakota County, Minnesota",398552,398583,399206,401738,404617,407929,411790,414240,417732,421821,425423
0500000US27039,27039,"Dodge County, Minnesota",20087,20087,20154,20197,20266,20334,20381,20417,20555,20737,20822
0500000US27041,27041,"Douglas County, Minnesota",36009,36009,35987,36175,36287,36343,36568,36782,37147,37556,37964
0500000US27043,27043,"Faribault County, Minnesota",14553,14553,14481,14460,14177,14101,14106,13981,13869,13764,13758
0500000US27045,27045,"Fillmore County, Minnesota",20866,20871,20865,20834,20831,20751,20769,20727,20902,20982,21058
0500000US27047,27047,"Freeborn County, Minnesota",31255,31254,31204,31065,31023,30922,30742,30496,30409,30537,30444
0500000US27049,27049,"Goodhue County, Minnesota",46183,46185,46214,46102,46146,46113,46021,46073,46252,46334,46403
0500000US27051,27051,"Grant County, Minnesota",6018,6018,6002,5993,5929,5958,5926,5870,5933,5938,6021
0500000US27053,27053,"Hennepin County, Minnesota",1152425,1152385,1154192,1169264,1184224,1198181,1211264,1222578,1235875,1248246,1259428
0500000US27055,27055,"Houston County, Minnesota",19027,19022,19027,18876,18764,18774,18699,18681,18694,18662,18578
0500000US27057,27057,"Hubbard County, Minnesota",20428,20428,20428,20515,20454,20698,20633,20645,20700,21001,21332
0500000US27059,27059,"Isanti County, Minnesota",37816,37810,37855,38191,38141,38058,38269,38277,38777,39583,39966
0500000US27061,27061,"Itasca County, Minnesota",45058,45051,45030,45091,45139,45324,45321,45261,45164,45161,45108
0500000US27063,27063,"Jackson County, Minnesota",10266,10266,10271,10194,10308,10280,10273,10095,9967,9988,9911
0500000US27065,27065,"Kanabec County, Minnesota",16239,16244,16216,16224,15972,16009,15971,15884,15903,16054,16207
0500000US27067,27067,"Kandiyohi County, Minnesota",42239,42239,42237,42203,42377,42460,42492,42590,42636,42715,42855
0500000US27069,27069,"Kittson County, Minnesota",4552,4552,4553,4540,4497,4498,4455,4405,4316,4259,4248
0500000US27071,27071,"Koochiching County, Minnesota",13311,13317,13318,13235,13164,13090,12848,12798,12609,12526,12440
0500000US27073,27073,"Lac qui Parle County, Minnesota",7259,7259,7246,7220,7121,7006,6901,6872,6737,6695,6658
0500000US27075,27075,"Lake County, Minnesota",10866,10862,10854,10777,10790,10704,10600,10547,10524,10516,10658
0500000US27077,27077,"Lake of the Woods County, Minnesota",4045,4045,4035,4011,3946,3909,3889,3872,3790,3736,3758
0500000US27079,27079,"Le Sueur County, Minnesota",27703,27701,27730,27778,27658,27702,27812,27736,27720,28151,28494
0500000US27081,27081,"Lincoln County, Minnesota",5896,5896,5886,5808,5755,5756,5766,5711,5704,5682,5673
0500000US27083,27083,"Lyon County, Minnesota",25857,25857,25848,25825,25630,25720,25776,25837,26000,25953,25629
0500000US27085,27085,"McLeod County, Minnesota",36651,36645,36590,36340,35931,35900,35776,35824,35767,35883,35873
0500000US27087,27087,"Mahnomen County, Minnesota",5413,5413,5441,5474,5505,5472,5503,5437,5490,5579,5519
0500000US27089,27089,"Marshall County, Minnesota",9439,9439,9441,9458,9469,9429,9419,9410,9371,9369,9390
0500000US27091,27091,"Martin County, Minnesota",20840,20843,20804,20619,20456,20419,20241,20034,19902,19858,19785
0500000US27093,27093,"Meeker County, Minnesota",23300,23298,23329,23189,23034,23085,23126,23036,23052,23041,23141
0500000US27095,27095,"Mille Lacs County, Minnesota",26097,26097,26077,25841,25630,25654,25557,25484,25583,25877,26139
0500000US27097,27097,"Morrison County, Minnesota",33198,33198,33242,33253,33097,32858,32807,32763,32907,33100,33169
0500000US27099,27099,"Mower County, Minnesota",39163,39163,39206,39341,39393,39325,39413,39420,39469,39699,40011
0500000US27101,27101,"Murray County, Minnesota",8725,8725,8697,8630,8573,8506,8435,8394,8308,8353,8276
0500000US27103,27103,"Nicollet County, Minnesota",32727,32729,32760,32964,33020,32981,33372,33532,33732,34058,34220
0500000US27105,27105,"Nobles County, Minnesota",21378,21378,21426,21619,21733,21797,21701,21795,21963,21810,21924
0500000US27107,27107,"Norman County, Minnesota",6852,6852,6840,6812,6605,6602,6587,6621,6529,6585,6475
0500000US27109,27109,"Olmsted County, Minnesota",144248,144260,144526,145811,146901,148854,150055,151335,153137,154519,156277
0500000US27111,27111,"Otter Tail County, Minnesota",57303,57303,57294,57278,57221,57498,57488,57544,57865,58251,58812
0500000US27113,27113,"Pennington County, Minnesota",13930,13930,13968,14068,14117,14138,14110,14234,14207,14191,14178
0500000US27115,27115,"Pine County, Minnesota",29750,29747,29716,29617,29198,29075,29081,29042,28857,29184,29483
0500000US27117,27117,"Pipestone County, Minnesota",9596,9597,9606,9529,9397,9303,9321,9267,9193,9096,9047
0500000US27119,27119,"Polk County, Minnesota",31600,31600,31640,31536,31507,31634,31492,31510,31718,31705,31529
0500000US27121,27121,"Pope County, Minnesota",10995,10995,10976,10912,10892,10880,10926,10930,10963,10985,11097
0500000US27123,27123,"Ramsey County, Minnesota",508640,508639,509389,515800,521026,527197,532912,536879,541944,545518,550210
0500000US27125,27125,"Red Lake County, Minnesota",4089,4089,4079,4084,4061,4032,3998,4032,3990,4022,3999
0500000US27127,27127,"Redwood County, Minnesota",16059,16058,16079,16024,15819,15685,15531,15422,15210,15243,15249
0500000US27129,27129,"Renville County, Minnesota",15730,15728,15683,15423,15282,15069,14932,14792,14604,14667,14612
0500000US27131,27131,"Rice County, Minnesota",64142,64142,64242,64454,64436,64642,64997,65307,65825,66173,66523
0500000US27133,27133,"Rock County, Minnesota",9687,9686,9658,9598,9480,9427,9377,9437,9383,9453,9414
0500000US27135,27135,"Roseau County, Minnesota",15629,15629,15559,15515,15510,15495,15678,15619,15554,15311,15150
0500000US27137,27137,"St. Louis County, Minnesota",200226,200231,200140,200393,200348,200440,200647,200276,199925,199798,199754
0500000US27139,27139,"Scott County, Minnesota",129928,129912,130511,132560,135120,137260,139182,141361,143340,145595,147381
0500000US27141,27141,"Sherburne County, Minnesota",88499,88492,88798,89258,89455,90067,90888,91416,93266,94547,96036
0500000US27143,27143,"Sibley County, Minnesota",15226,15232,15254,15160,15075,15050,14925,14887,14815,14904,15028
0500000US27145,27145,"Stearns County, Minnesota",150642,150642,150754,151345,151883,152573,153972,155890,156996,157979,159256
0500000US27147,27147,"Steele County, Minnesota",36576,36581,36496,36562,36307,36361,36481,36610,36662,36824,36803
0500000US27149,27149,"Stevens County, Minnesota",9726,9722,9705,9706,9732,9745,9848,9864,9784,9672,9753
0500000US27151,27151,"Swift County, Minnesota",9783,9783,9756,9678,9635,9555,9489,9379,9447,9396,9345
0500000US27153,27153,"Todd County, Minnesota",24895,24895,24898,24887,24652,24491,24357,24340,24389,24532,24582
0500000US27155,27155,"Traverse County, Minnesota",3558,3558,3534,3488,3405,3401,3379,3369,3323,3307,3308
0500000US27157,27157,"Wabasha County, Minnesota",21676,21664,21672,21608,21541,21566,21459,21380,21425,21590,21645
0500000US27159,27159,"Wadena County, Minnesota",13843,13843,13816,13649,13606,13640,13590,13668,13551,13646,13773
0500000US27161,27161,"Waseca County, Minnesota",19136,19138,19145,19185,19175,19036,18926,18923,18779,18726,18691
0500000US27163,27163,"Washington County, Minnesota",238136,238114,238936,241394,243691,245974,248541,250494,252650,255697,259201
0500000US27165,27165,"Watonwan County, Minnesota",11211,11211,11194,11168,11118,11053,10985,11002,10982,10916,10980
0500000US27167,27167,"Wilkin County, Minnesota",6576,6576,6589,6575,6590,6494,6460,6355,6322,6322,6254
0500000US27169,27169,"Winona County, Minnesota",51461,51461,51434,51348,51339,51330,51057,50808,50840,50704,50825
0500000US27171,27171,"Wright County, Minnesota",124700,124697,125095,126216,127245,128202,129801,130978,132343,134255,136349
0500000US27173,27173,"Yellow Medicine County, Minnesota",10438,10438,10423,10282,10150,10076,9981,9836,9885,9845,9795
